Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
C69,HNX,Kỹ thuật xây dựng,"- Bán hàng hóa (86%)
- Bản thành phẩm (2,4%)
- Cung cấp dịch vụ (3,2%)
- Kinh doanh BĐS đầu tư cho thuê (0,1%)
- Hợp đồng xây dựng (8,3%).", No data,"Hợp đồng hợp tác kinh doanh với công ty cổ phần xây dựng Đông Hải
Khai thác đá để phục vụ thị trường trong nước và xuất khẩu.
Mỏ đá Hoành Bồ:
- Vị trí: Thôn Đồng Vải, xã Thống Nhất, huyện Hoành Bồ, tỉnh Quảng Ninh. Vị trí địa lý thuận lợi cho giao thông
đường thủy đến các cảng lân cận.
- Diện tích đất sử dụng: 22,78 ha. Thời hạn khai thác 15 năm kể từ ngày được cấp giấy phép (13/2/2014).
- Trữ lượng (2019): 2.222.927 m3. Công suất khai thác 3500 m3/tháng.
- Mỏ đá Hoành Bồ là một trong những mỏ đá hiểm, có hàm lượng CaCO3 cao đủ tiêu chuẩn làm nguyên vật liệu cho ngành luyện thép.
Các khách hàng lớn: Biroute Limited, Công ty TNHH Quốc tế Blooming, Deluxe Jewel Co Ltd, Kingstone Mine
Corp...","Hoạt động xây lắp
C69 là nhà thầu chính thiết kế thi công các công trình xây dựng công nghiệp, nhà xưởng và lắp đặt các thiết bị kèm theo với một số công trình tiêu biểu như Công trình hạ tầng Khu đô thị Cầu Sến, Uông Bí tỉnh Quảng Ninh, Nhà máy xi măng trắng Phúc Đạt, Nhà máy gạch ngói Kim Thành.
Ngoài ra, C69 còn tiến hành xây dựng một số công trình như nhà xưởng Việt Nhật, Trạm nghiền Quảng Bình, Showroom ô tô Mitsubishi Hải Dương....",No data
CIG,HOSE,Kỹ thuật xây dựng,,No data,No data,No data,No data
CII,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
- BOT (62%)
- Xây lắp (24,4%)
- Khác (13,6%)",No data,"Số lao động của công ty mẹ (2022) 35 người.
Hạ tầng giao thông
- Thu phí giao thông BOT là hoạt động cốt lõi của CII. Hiện tại, CII đang quản lý vận hành 7 dự án BOT, trực tiếp hoặc gián tiếp thông qua Công Ty CII B&R. Tính đến 31/12/2022, tổng vốn đầu tư chưa thu hồi của CII tại các dự án BOT đạt khoảng 20.844 tỷ đồng. Những tuyến đường CII đã đầu tư hầu hết là những tuyến đường then chốt, trọng điểm, giao thông huyết mạch, kết nối vùng.

Bất động sản
Trong quá trình đầu tư các dự án hạ tầng, ngoài những dự án BOT được phép thu phí sau khi đưa vào sử dụng, CII còn tham gia đầu tư những dự án BT theo hình thức đổi đất lấy hạ tầng. Những dự án này giúp CII xây dựng được một quỹ đất sạch với ưu điểm là CII có thể chủ động trong tiến độ xây dựng hạ tầng để hoạch định chiến lược phát triển dự án Bất Động Sản ở thời điểm phù hợp.

Xây dựng
Các công trình xây dựng đang tập trung thi công ở các dự án Xa Lộ Hà Nội và dự án mở rộng Xa Lộ Hà Nội, cao tốc Trung Lương - Mỹ Thuận, Khu Dân cư Sơn Tịnh, Dự án BT Thủ Thiêm...","Mảng Hạ tầng giao thông đang thu phí (BOT) (2023)
- Dự án mở rộng tuyến tránh QL1A (BOT Ninh Thuận 1)
- Dự án đầu tư xây dựng mở rộng Xa lộ Hà Nội, Dự án DT 741,
- Dự án cầu Rạch Miễu, Dự án cầu Cổ Chiên, Dự án BOT cao tốc Trung Lương – Mỹ Thuận

Dự án Bất động sản đang thực hiện (2023)
- Dự án Lô 4.8 và 3.6 Thủ Thiêm.
- Dự án River 1 và 2.
- Dự án Riverfornt Residentce.
- Dự án The River 1 và 2
- Khu dân cư Sơn Tịnh.
- Và các dự án khác như: NBB II, III ....

Mảng hạ tầng nước (2023)
- Nhà máy nước Tân Hiệp 2: Cung cấp nước sạch cho Wasseco theo hợp đồng cung ứng nước sạch.
- Nhà máy nước Gia Lai: Cung cấp nước sạch cho hơn 30,894 hộ tại địa bàn tỉnh Gia Lai.
- Nhà máy nước Củ Chi: Cung cấp nước sạch cho hơn 88,458 hộ tại địa bàn Củ Chi.
- Nhà máy SaiGon Dankia: Cung cấp nước sạch cho địa bàn tỉnh Lâm Đồng

Mảng xây dựng (2023)
- Dự án Delagi.
- Dự án Vành đai phía tây Thành phố Cần Thơ
- Dự án Đường trục trung tâm TP Biên Hòa.",No data
CKG,HOSE,Quản lý và Phát triển bất động sản,,,,,
CST,UPCOM,Than và hoạt động liên quan,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Bản than
- Doanh thu: 95%.
- Lợi nhuận gộp: 66%.
Cung cấp dịch vụ
- Doanh thu: 5%.
- Lợi nhuận gộp: 34%.",No data,"Năng lực sản xuất
Gồm 25 công trường, phân xưởng. Các thiết bị vận chuyển than, đất của Công ty gồm: 245 xe, có tải trọng từ 25 tấn trở lên đến 98 tấn.
Công suất thiết kế khai thác than: 2 triệu tấn/năm nằm ở vùng than Cẩm Phả.",Chủ yếu được bán cho công ty mẹ là tập đoàn than khoản sản Việt Nam.,
CSV,HOSE,Hóa chất,Chủ yếu được bán cho công ty mẹ là tập đoàn than khoản sản Việt Nam.,"Nguyên vật liệu, Năng lượng chính
Gồm: Muối công nghiệp (NaCl), Cát trắng, Lưu huỳnh (S), Phốt pho vàng (P4), Quặng apatit, BaCI2, điện,...Trong đó, Cát trắng, Phốt pho vàng, Quặng apatit, điện có sẵn trong nước, còn lại nhập khẩu từ nước ngoài.
• Mảng Xút-Clo: Điện, Muối công nghiệp
• Mảng Phospho và các hợp chất gốc Phospho: Quặng apatit, Than cốc
• Mảng Lưu huỳnh và các hợp chất gốc lưu huỳnh: Lưu huỳnh

Cơ cấu chi phí nguyên nhiên liệu
Điện (41.3%), Muối công nghiệp (19.7%), Quặng Apatit (4.8%), Lưu huỳnh (4.5%), Than cốc (3.3%), Khác (26.4%)
Điện năng và muối công nghiệp là hai khoản mục chiếm tỷ trọng cao nhất, là nguyên liệu đầu vào cho mảng Xút -Clo, lĩnh vực kinh doanh chính. Ngoài ra, quặng apatit, lưu huỳnh và than cốc là nguyên liệu quan trọng để sản xuất các sản phẩm hóa chất trong các mảng còn lại của CSV
- Điện năng: Do EVN cung cấp. So với Hàn Quốc, Trung Quốc, Nhật Bản (chiếm hơn 60% tổng giá trị Xút nhập khẩu vào VN) có chi phí sản xuất điện năng cao hơn
- Muối công nghiệp: CSV nhập khẩu hoàn toàn từ Ấn Độ với áp lực từ hạn ngạch thuế quan. Muối công nghiệp là nguyên liệu đầu vào cho (1) Xút lỏng, (2) Clo lỏng, (3) Javel, (4) PAC
- Lưu huỳnh: Chủ yếu nhập khẩu từ các nước như Hàn Quốc, Nhật Bản và Singapore để sản xuất 2 sản phẩm chính (1) axit sunfuric, (2) phèn nhôm","Mảng Xút-Clo
- NM Hóa chất Biên Hòa: 40 nghìn tấn Xút/năm, 126 nghìn tấn Axit Clohidric/năm, 30 nghìn tấn Natri Silicate/năm

Mảng Phospho và các hợp chất gốc phospho:
- NM Hóa chất Đồng Nai: 8 nghìn tấn Phospho vàng/năm (sản xuất tại CTCP Phốt pho Việt Nam), 7 nghìn tấn Axit Photphoric kỹ thuật/năm, 3 nghìn tấn Axit Phosphoric thực phẩm/năm
- Công nghệ mà CSV sử dụng là phương pháp gia nhiệt để sản xuất axit photphoric (không hiệu quả bằng phương pháp trích ly vì hàm lượng P2O5 thấp hơn)

Mảng lưu huỳnh và các hợp chất gốc lưu huỳnh
NM Hóa chất Tân Bình 2: 60 nghìn tấn Axit Sunfuric/năm, 15 nghìn tấn phèn nhôm/năm","Địa bàn kinh doanh
Tiêu thụ rộng khắp ở các tỉnh miền Trung – Tây Nguyên đến các tỉnh miền Tây Nam Bộ và TP. HCM với đa dạng các loại
sản phẩm hóa chất cơ bản.
Tính đến năm 2021, thị phần ở tỉnh Miền Nam 93.87%, Miền Bắc chiếm 5.12%, Miền Trung 0.72%, Khu vực khác
chiếm 0.29%.

Sản phẩm chính
Mảng Xút-Clo: Xút lỏng, Các sản phẩm gốc Clo như axit HCI, Clo lỏng, PAC, Javel
Hiện nay, VN vẫn đang phải nhập khẩu xút (chiếm hơn 40% trong tổng lượng tiêu thụ nội địa). Nguyên nhân do
nhu cầu sản phẩm gốc Clo còn hạn chế. Trong nội địa, CSV chiếm 9.9% nguồn cung, chủ yếu cung cấp cho
ngành dệt nhuộm, chất tẩy rửa, xà phòng, giấy-bột giất và sản xuất alumin,...
Mảng Phospho và các hợp chất gốc phospho: Phospho vàng, Axit Photphoric thực phẩm và kỹ thuật, Các sản phẩm gốc
Phosphat khác (MAP, MKP, DAP)
Hơn 85% sản lượng phốt pho vàng sản xuất tại CTCP Phốt Pho Việt Nam được xuất khẩu sang các nước khác như Nhật Bản và Ấn Độ, lượng còn lại sẽ cung cấp cho Nhà máy Hóa chất Đồng Nai để sản xuất axit photphoric và các sản phẩm gốc phốt phát khác.
Mảng lưu huỳnh và các hợp chất gốc lưu huỳnh: (1) axit sunfuric (ứng dụng trong sản xuất đường, bột ngọt, pin-ắc quy, xử lý nước thải), (2) phèn nhôm (xử lý nước sinh hoạt và công nghiệp)","Kế hoạch kinh doanh 2023 và giai đoạn tới
Cổ tức năm 2023 dự kiến 15%
CSV dự kiến sẽ đầu tư nhà máy và thiết bị mới tại KCN Nhơn Trạch, nâng công suất sản xuất xút thêm 20,000 tấn trong khi tiếp tục duy trì hoạt động 3 nhà máy cũ tại KCN Biên Hòa 1."
CTC,HNX,Bán lẻ chuyên dụng,,,,,
CTD,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
Hoạt động xây dựng (99,9%)
- Đang thực hiện (96,6%).
- Đã hoàn thành (3,4%).
Khác (0,1%)","- Chi phí Nguyên vật liệu chiếm 70% giá vốn
- Thép chiếm 50% chi phí Nguyên vật liệu","- CTD là tổng thầu thiết kế - thi công dân dụng hàng đầu Việt Nam
- Có lợi thế cạnh tranh cao tại các dự án chung cư nhờ khả năng ứng dụng BIM (Mô hình Thông tin Công trình).
- CTD đã được cấp Chứng chỉ năng lực thi công cấp 1 giúp công ty có đủ năng lực và khả năng cạnh tranh trong việc đấu thầu các dự án hạ tầng thông qua hình thức liên danh hoặc nhà thầu phụ.","Coteccons là doanh nghiệp hàng đầu trong lĩnh vực xây dựng tại Việt Nam.
Tổng giá trị các gói thầu backlog chuyển sang (2023) :Đạt 17.000 tỷ đồng (chưa tính dự án Lego)
Các dự án tiêu biểu
• Nhà máy LEGO.
• Diamond Crown Hải Phòng.
• Tổ hợp sản xuất ô tô Vinfast.
• Vinhomes Dream City.","Kế hoạch mở rộng mảng kinh doanh
CTD bắt đầu tham gia mảng xây dựng hạ tầng trong năm 2022, bao gồm việc xây dựng các dự án như trung tâm dữ liệu, nhà ga, sân bay hay cao ốc văn phòng của Cơ quan Nhà nước.
Đây là ngành có rào cản gia nhập cao do các đòi hỏi phức tạp về mặt trình độ kĩ thuật, cho nên chiến lược của CTD là sẽ chậm rãi tham gia vào từng mảng bằng cách trở thành các nhà thầu phụ đến nhà thầu tổng cho từng dự án."
CTF,HOSE,Bán lẻ chuyên dụng,"- Kinh doanh xe (92,55%)
- Dịch vụ sửa chữa và phụ tùng (7,45%)",No data,No data,"Hoạt động kinh doanh chính
Giữ vững vị trí Top 1 Đại lý hàng đầu của Ford và Huynhdai Việt Nam về số lượng xe bán và doanh thu dịch vụ ô tô
Số lượng xe bán (2022): 7.072 chiếc","Mục tiêu trung và dài hạn
Giữ vững vị trí top 1 các nhà phân phối xe Ford và Huyndai tại Việt Nam

Kế hoạch 2023
Số lượng xe bán: 10.047 chiếc (+42% yoy)"
CTI,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
- Bán xăng dầu (4,3%)
- Bản thành phẩm đá và dịch vụ mỏ đá (6,3%)
- Thi công lắp đặt và xây dựng công trình (18,6%)
- Thu phí giao thông tại các trạm thu phí (57,2%)
- Ống cống bê tông (6,6%)
- Khác (7%)","Mỏ đá
CTI sở hữu 3 mỏ đá tại Đồng Nai với tổng trữ lượng còn lại 52 triệu m3 đá (gấp 5.8 lần KSB và 3.6 lần DHA)

Nguồn VLXD đầu vào bao gồm
Đá, Cống hộp, Bê tông và thâu tóm các mỏ đá trên địa bàn tỉnh Đồng Nai. Công ty từng bước tự chủ nguyên liệu đầu vào. Sản phẩm đá chủ yếu phục vụ cho các công trình xây dựng của CTI, góp phần tiết giảm chi phí nguyên vật liệu, tự chủ nguồn cung và mới chỉ khai thác 25% công suất thiết kế.","Năng lực sản xuất
- Mỏ đá Xuân Hòa: 500 nghìn m3, hiện đang khai thác 25% công suất thiết kế, vừa lắp thêm 2 máy xay đá công suất 350 tấn/giờ trong 2022
- Thiện Tân 10: 900 nghìn m3, bị đình chỉ hoạt động năm 2019, đi vào khai thác trở lại vào 2022
- Thiện Tân 11: đã được UBND tỉnh chấp thuận chủ trương, chưa có kế hoạch sử dụng trong ngắn hạn","Hoạt động kinh doanh chính
- Trong lĩnh vực Xây dựng và Đầu tư thu phí BOT tại Đồng Nai (BOT QL1, BOT319, BOT đường chuyên dùng vận chuyển VLXD và BOT QL91 tại TP. Cần Thơ). Hai mảng kinh doanh cốt lõi được hỗ trợ bởi chuỗi giá trị khép kín bao gồm khai thác và chế biến đá các loại, bê tông, cống.
- Thi công xây lắp: Chủ yếu là xây dựng hạ tầng cho thị trường Đồng Nai với các dự án quan trọng như: QL319, QL91, QL1K, nút giao thông trung tâm huyện Nhơn Trạch, hệ thống thoát nước trung tâm huyện Nhơn Trạch, hệ thống đường giao thông tại các KCN tại Biên Hòa.
Hiện CTI đang vận hành 1 BOT QL91 T1 tại TP.Cần Thơ và 3 BOT tại tỉnh Đồng Nai bao gồm BOT QL1, BOT 319, BOT đường chuyên dùng vận chuyển VLXD
- Bất động sản: CTI sở hữu quỹ đất 588 ha KCN và 129 ha KDC- KĐT tại Đồng Nai bao gồm dự án cụm công nghiệp Tân An (49 ha), KCNKĐT Phước Bình (658 ha) và KDC CTI Diamond Center (10.4 ha). Trong năm 2022 - 2023, CTI sẽ tập trung nguồn lực triển khai dự án Cụm công nghiệp và CTI Diamond Center nhờ vào dòng tiền thu phí BOT

Địa bàn kinh doanh
Hoạt động chủ yếu trên địa bàn tỉnh Đồng Nai và các tỉnh, thành phố trực thuộc khu vực Đông Nam Bộ","Chiến lược dài hạn
Trở thành một nhà phát triển Khu công nghiệp – Khu đô thị hàng đầu tại tỉnh Đồng Nai với kinh nghiệm trong lĩnh vực xây dựng và quỹ đất từ các hợp đồng BT đã thực hiện trong quá khứ."
